Año,Temperatura media anual,MaxTemp,MinTemp,Precipitación total anual de lluvia y/o nieve derretida (mm),Velocidad media anual del viento (Km/h),Total días con lluvia durante el año,Total días que nevó durante el año,Total días con tormenta durante el año,Total días con niebla durante el año,Total días con tornados o nubes de embudo durante el año,Total días con granizo durante el año
1973,17.5,24.4,9.5,269.81,10.0,64,1,11,29,0,1
1974,17.5,24.3,9.6,484.40,9.8,75,1,7,49,0,0
1975,17.5,24.2,9.9,446.51,9.7,81,0,11,39,0,1
1976,17.4,23.8,10.1,933.72,10.0,94,0,11,49,0,0
1977,18.2,24.1,11.0,506.98,10.5,84,0,5,31,0,3
1978,18.1,24.3,10.7,354.90,10.7,77,0,4,33,0,0
1979,18.1,24.1,11.0,488.21,10.5,86,2,10,38,0,1
1980,18.3,24.8,10.6,271.53,11.0,66,0,9,30,0,1
1981,18.2,25.5,10.7,376.19,11.2,71,1,14,15,0,2
1982,18.0,24.5,10.9,386.07,8.2,69,0,12,27,0,0
1983,18.3,25.1,10.7,447.04,8.9,59,2,7,15,0,0
1984,16.7,23.6,10.3,570.23,8.2,86,0,8,25,0,0
1985,17.9,25.0,11.2,442.70,8.1,72,0,7,13,0,0
1987,19.0,24.5,11.8,761.23,11.5,70,0,14,32,0,1
1988,18.3,24.7,11.1,571.04,10.1,77,0,10,19,0,1
1989,19.5,25.6,12.3,682.98,11.2,84,0,10,10,0,0
1990,19.7,25.2,11.5,407.44,9.9,61,0,10,27,0,2
1991,19.1,24.7,10.7,500.65,10.6,59,0,6,20,0,0
1992,18.8,24.7,10.0,498.16,9.5,59,0,13,15,0,1
1996,19.2,24.3,12.0,951.54,10.1,88,0,6,14,0,0
1997,19.9,25.0,12.7,888.00,8.9,82,0,12,23,0,0
1998,19.6,25.2,11.8,326.64,8.9,55,0,9,10,0,0
1999,19.5,25.1,11.3,496.27,9.7,54,0,9,15,0,0
2000,19.7,25.5,11.1,490.98,9.2,69,1,8,13,0,0
2001,19.5,25.0,12.0,713.97,10.1,78,0,12,13,0,1
2003,19.9,25.3,12.4,625.84,8.8,76,0,4,17,0,1
2004,19.5,25.2,11.5,489.98,8.2,58,0,6,22,0,0
2006,20.2,25.8,12.7,560.02,8.6,65,1,7,19,0,1
2007,17.8,25.4,11.4,360.15,7.3,97,2,12,18,0,0
2008,17.9,25.2,11.4,536.91,7.6,109,0,8,21,0,0
2009,18.6,26.1,11.9,588.03,7.9,95,0,6,22,0,0
2010,18.0,24.4,12.4,967.71,8.4,136,1,12,16,0,0
2011,18.6,25.4,12.6,433.56,7.1,93,0,14,17,0,1
2012,18.3,25.8,11.4,408.43,7.7,92,0,6,17,0,0
2013,17.7,25.1,11.0,602.22,7.7,120,0,7,12,0,0
2014,18.2,25.7,11.5,562.10,7.7,133,1,7,24,0,0
2015,18.7,27.1,11.2,277.33,7.1,99,1,4,14,0,0
